subject_ids,classifications,workflow_id,workflow_version,file-name,advance,flag
13289143,5,427,6.20,,advance,1
13289144,5,427,6.20,,advance,1
13289145,5,427,6.20,,advance,1
13289146,5,427,6.20,,advance,1
13289147,5,427,6.20,,advance,1
13289148,5,427,6.20,,advance,1
13289149,5,427,6.20,,advance,1
13289150,5,427,6.20,,retire,0
13289151,5,427,6.20,,advance,1
13289152,5,427,6.20,,advance,1
13289153,5,427,6.20,,advance,1
13289154,5,427,6.20,,advance,1
13289155,5,427,6.20,,advance,1
13289156,6,427,6.20,,advance,1
13289157,5,427,6.20,,advance,1
13289158,5,427,6.20,,advance,1
13289159,5,427,6.20,,advance,1
13289160,5,427,6.20,,advance,1
13289161,5,427,6.20,,advance,1
13289162,5,427,6.20,,advance,1
13289163,5,427,6.20,,advance,1
13289164,5,427,6.20,,advance,1
13289165,5,427,6.20,,advance,1
13289166,5,427,6.20,,advance,1
13289167,5,427,6.20,,advance,1
13289168,5,427,6.20,,advance,1
13289169,5,427,6.20,,advance,1
13289170,5,427,6.20,,advance,1
13289171,5,427,6.20,,advance,1
13289172,5,427,6.20,,advance,1
13289173,5,427,6.20,,advance,1
13289174,6,427,6.20,,advance,1
13289175,5,427,6.20,,advance,1
13289176,5,427,6.20,,advance,1
13289177,5,427,6.20,,advance,1
13289178,5,427,6.20,,advance,1
13289179,5,427,6.20,,advance,1
13289180,5,427,6.20,,advance,1
13289181,5,427,6.20,,advance,1
13289182,5,427,6.20,,advance,1
13289183,5,427,6.20,,advance,1
13289184,5,427,6.20,,advance,1
13289185,5,427,6.20,,advance,1
13289186,5,427,6.20,,advance,1
13289187,5,427,6.20,,advance,1
13289188,5,427,6.20,,advance,1
13289189,5,427,6.20,,advance,1
13289190,5,427,6.20,,advance,1
13289191,5,427,6.20,,advance,1
13289192,5,427,6.20,,advance,1
13289193,5,427,6.20,,advance,1
13289194,5,427,6.20,,advance,1
13289195,5,427,6.20,,advance,1
13289196,5,427,6.20,,advance,1
13289197,5,427,6.20,,advance,1
13289198,5,427,6.20,,advance,1
13289199,5,427,6.20,,retire,0
13289200,5,427,6.20,,retire,0
13289201,5,427,6.20,,advance,1
13289202,5,427,6.20,,advance,1
13289203,5,427,6.20,,advance,1
13289204,5,427,6.20,,advance,1
13289205,5,427,6.20,,advance,1
13289206,5,427,6.20,,advance,1
13289207,5,427,6.20,,advance,1
13289208,5,427,6.20,,advance,1
13289209,5,427,6.20,,advance,1
13289210,5,427,6.20,,advance,1
13289211,5,427,6.20,,advance,1
13289212,5,427,6.20,,advance,1
13289213,5,427,6.20,,advance,1
13289214,5,427,6.20,,advance,1
13289215,5,427,6.20,,advance,1
13289216,5,427,6.20,,advance,1
13289217,5,427,6.20,,advance,1
13289218,5,427,6.20,,advance,1
13289219,5,427,6.20,,advance,1
